category,name
The Kitchen Table,Steamed California Blend Vegetables
Rotisserie,Peppered Turkey Breast
The Kitchen Table,Loaded Turkey Taco
The Kitchen Table,Blackened Salmon
Plant Forward,Corn on the Cob
Burritos & Bowls,Shredded Taco Chicken
Specialty Bakery,Flourless Monster Cookie Bar
Simply Prepared Grill,Sauteed Green Beans & Tomatoes
Simply Prepared Grill,Rosemary Thyme Potatoes
Simply Prepared Grill,Frank's Steak Sauce
Simply Prepared Grill,Grilled Portobello Mushrooms
The Kitchen Table,Red Lentil Pasta
The Kitchen Table,Vegetable Medley
The Kitchen Table,Spaghetti Noodles
Rotisserie,Braised Lamb
Plant Forward,Roasted Cauliflower
Plant Forward,Vegan Pulled Chikin BBQ
International Flavors,Ziti Casserole
The Kitchen Table,Steamed Potato Wedges
The Kitchen Table,Shredded Chicken Tacos
The Kitchen Table,Cumin Black Beans
The Kitchen Table,Smoked Satay Steak
Rotisserie,Seared Salmon
Rotisserie,Vegetable Medley
Rotisserie,Herb Roasted Pork Loin
The Griddle,Shredded Monterey Jack Cheese
The Griddle,Flour Tortilla
Specialty Bakery,Coconut Sheet Cake
International Flavors,Sausage
The Griddle,Pico de Gallo
The Griddle,Freshly Scrambled Eggs
The Kitchen Table,Montreal Roasted Flank Steak
Plant Forward,Broccoli Rabe with Garlic
The Kitchen Table,Crispy Chicken Breast with Creamy Tomato Sauce
Create,Hawaiian Chicken Poke Bowl
Simply Prepared Grill,Baked Sweet Potato
Simply Prepared Grill,Sweet Potato Mash
Specialty Bakery,Orange Poppy Loaf
Specialty Bakery,Pound Cake with Strawberry Topping
The Griddle,Philly Chicken Steak
The Griddle,Hoagie Roll
Specialty Bakery,Kale Cake
Plant Forward,Steamed Corn
The Grill,Meatball Sub Sandwich
The Kitchen Table,Candied Yams
Create,Edamame
Pasta Bar,Spaghetti Marinara
Plant Forward,Blueberry BBQ Sauce
Plant Forward,Hickory Syrup
Plant Forward,Seared Salmon
Plant Forward,Barley and Vegetable Ragout
Rotisserie,Italian Green Beans
Homemade Soups,Chicken & Wild Rice Soup
The Kitchen Table,Maple-Glazed Acorn Squash
International Flavors,Manicotti Marinara
Vegan Plant Forward,General Tso's Soy Nuggets
Nacho Bar,Beef Taco on Corn Tortilla
Vegan Plant Forward,Roasted Fall Squash
Create,Ahi Tuna Umami Poke Bowl
International Flavors,Mexican Penne Casserole
The Kitchen Table,Braised Kale
The Grill,Hot Dog
International Flavors,Chicken & Broccoli Alfredo
Homemade Soups,Corn Chowder
Homemade Soups,Chicken Noodle Soup
Plant Forward,Tofu Bahn Mi
Bakery,Berry Scones
Simply Prepared Grill,Honey Mustard Chicken
Soup and Salads,Caribbean Root Vegetable Seitan Curry
Soup and Salads,Vegetable Bean Soup
The Kitchen Table,Waffle Fries
Vegan Plant Forward,Garden Burger
Rotisserie,Steamed Green Peas
Specialty Bakery,Cinnamon Rolls
The Kitchen Table,Savory Wild Rice Pilaf
Plant Forward,Diced Mango
Plant Forward,Pineapple
Plant Forward,Broccoli
Plant Forward,Chili Garlic Sauce
Plant Forward,Stir- Fry Beef
Plant Forward,Bell Peppers
Plant Forward,Broccoli and Beef Stir- Fry
Plant Forward,General Tso Tempura Chicken
The Kitchen Table,Baby Carrots
International Flavors,Peas
International Flavors,Shrimp Fried Rice
The Grill,Kettle Chips
Rotisserie,Sweet Potato Curry
International Flavors,Pineapples
International Flavors,Sweet and Sour Chicken with Rice
The Kitchen Table,Swedish Meatballs
International Flavors,Mango
The Kitchen Table,Paella
Specialty Bakery,Vanilla Pudding Filled Cupcakes
International Flavors,Broccoli and Beef Stir- Fry
Specialty Bakery,Vegan Spiced Pumpkin Cake with Walnuts
Rotisserie,Tangy Beef Brisket with Alabama BBQ Sauce
Plant Forward,Vegan Blueberry Pancake
Plant Forward,Tofu Bolognese
Plant Forward,Polenta
Rotisserie,Blackened Salmon
The Kitchen Table,Creole Halal BBQ Chicken
Simply Prepared Grill,Grilled Chicken Breast
Plant Forward,Vegan Banana French Toast
The Kitchen Table,Scratchmade Blueberry Pancake
Vegan Plant Forward,Vegan Banana French Toast
The Kitchen Table,Taco Shell
Plant Forward,Spicy Orange Chicken
Plant Forward,Sauteed Yellow Onions
Plant Forward,Baby Carrots
Plant Forward,Sweet and Sour Sauce
The Kitchen Table,Cilantro Lime Halal Chicken
Nacho Bar,Cilantro Lime Halal Chicken
Plant Forward,Cilantro Pork Stir Fry
Plant Forward,Baby Corn
Rotisserie,Corn
Plant Forward,"Cabbage, Apple and Cress Salad"
Plant Forward,Cinnamon Roasted Pumpkin Seeds
Plant Forward,"Roasted Acorn, Delicato, and Robin's Koginut Squash"
Plant Forward,Kombucha Vinaigrette
Simply Prepared Grill,Potato Hash
Pasta,Penne Meatballs
Rotisserie,Pulled Pork
The Kitchen Table,Southwest Chicken
The Kitchen Table,Steamed Snow Peas
Homemade Soups,Creamy Queso Dip
Simply Prepared Grill,Creole Halal BBQ Chicken
The Kitchen Table,Oven Fried Chicken
Rotisserie,Chicken Biryani
Specialty Bakery,Doughnut Bites
The Griddle,Black Bean Burger Patty
The Kitchen Table,BBQ Pork Chop
Nacho Bar,Pico Salsa
The Griddle,Iceberg Lettuce
The Griddle,Udi's Gluten-Free Hamburger Bun
The Kitchen Table,Steamed Corn on the Cob
The Grill,Udi's Gluten-Free Hamburger Bun
Vegan Plant Forward,Honey Glazed Baby Carrots
Pasta Bar,Olive Oil Penne
Burritos & Bowls,Pico Salsa
Vegan Plant Forward,Pico Salsa
The Griddle,Strawberry French Toast
The Griddle,French Toast
Homemade Soups,Beef Chili
International Flavors,Five Cheese Baked Ziti
Rotisserie,Whole Edamame Pods
Simply Prepared Grill,East African Style Halal Chicken
The Kitchen Table,Roasted Red Potatoes
Specialty Bakery,Pumpkin Tartlets
Vegan Plant Forward,Carolina Heirloom Tomatoes
Vegan Plant Forward,Pickles
Vegan Plant Forward,Sliced Red Onion
Vegan Plant Forward,Daiya Cheddar
Plant Forward,Pumpkin Risotto
Vegan Plant Forward,Vegan Aioli
Vegan Plant Forward,Iceberg Lettuce
Plant Forward,Soy Nuggets with Peppers and Onions
The Kitchen Table,Grain Mustard
The Kitchen Table,Apple Sauerkraut
The Kitchen Table,Egg-Washed Hoagie
Rotisserie,Roasted Beets
Plant Forward,Braised Green Cabbage with Apples
Bakery,Sweet Potato Bread Pudding
Plant Forward,Roasted Sweet Potato Wedges
Nacho Bar,Corn Tortilla
The Kitchen Table,Fried Yucca
Specialty Bakery,Lemon Bars
International Flavors,Cajun Shrimp Bowl
The Kitchen Table,Cheese Ravioli Bake
Pasta,Cheese Ravioli Bake
The Griddle,Sweet Potato Tater Bites
Nacho Bar,Flour Tortilla
Rotisserie,Shrimp and Broccoli Stir Fry
The Grill,Cheese Quesadilla
The Kitchen Table,Stewed Tomatoes
International Flavors,Stuffed Alfredo Shells
Rotisserie,Cajun Breakfast Stir- Fry
Rotisserie,BBQ Pork Ribs
Rotisserie,Lima Beans
Vegan Plant Forward,Sweet and Sour Soy Nuggets
Simply Prepared Grill,Grilled Kielbasa
Simply Prepared Grill,Cajun Pork
Vegan Plant Forward,Seasoned Cauliflower
Rotisserie,Herbed Grilled Pork Chop
Pasta Bar,Rice Pasta
International Flavors,Spaghetti with Meat Sauce
Nacho Bar,Mac & Cheese
The Kitchen Table,Corn Chips
The Kitchen Table,"Chili Roasted Mango, Plantains, and Pineapples"
Simply Prepared Grill,Seasoned Chicken Breast
The Kitchen Table,Cajun Pinto Beans
Bakery,Lemon Cream Cake
The Kitchen Table,Grilled Asparagus
The Griddle,Bananas Foster French Toast
Plant Forward,Hikapachi Soy Nuggets
The Kitchen Table,Sausage Patties
Vegan Plant Forward,Rice Blend
Vegan Plant Forward,Braised Kale
The Kitchen Table,Seasoned Chicken Breast
Rotisserie,Seasoned Chicken Breast
The Grill,Vegetable Egg Roll
Rotisserie,Seasoned Green Chili Corn
The Kitchen Table,Cajun Red Skin Potatoes
The Kitchen Table,Simply Corn on the Cob
The Kitchen Table,Crispy Yucca Fries
The Griddle,Brioche Grilled Pimento Cheese
The Kitchen Table,Beef Taco on Corn Tortilla
Pasta,Baked Penne
The Grill,Chicken Nuggets
The Kitchen Table,Creole Grilled Salmon Filet
Specialty Bakery,Katz Chocolate Donut
Plant Forward,Zesty Salsa Verde
Plant Forward,Chicken Tijuana
Plant Forward,Black Beans
Plant Forward,Tomatoes
Rotisserie,Stewed Tomatoes and Okra
Pasta Bar,Whole Wheat Rotini
Rotisserie,Baked Spiral Ham
Rotisserie,Teriyaki Beef Steak
Plant Forward,Plant-Based Meatballs
Plant Forward,Sweet & Sour Slaw
Rotisserie,Broccoli Rabe with Garlic
Plant Forward,Steamed Corn on the Cob
Simply Prepared Grill,Guacamole
International Flavors,Chicken Penne with Vegetables
Simply Prepared Grill,Seasoned Green Chili Corn
Simply Prepared Grill,Pico Salsa
The Kitchen Table,Steamed Broccolini
International Flavors,Sundried Tomato Farfalle
Plant Forward,Seasoned Steamed Broccoli
Rotisserie,Linguine Pasta
